City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Pochutla,MX,15.7432,-96.4661,82.22,53,13,8.05,few clouds
1,Severo-Kurilsk,RU,50.6789,156.125,36.07,92,86,9.64,overcast clouds
2,Hun,LY,29.1268,15.9477,79.63,16,84,21.54,broken clouds
3,Lima,PE,-12.0432,-77.0282,65.39,61,0,17.27,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,42.91,87,40,8.05,scattered clouds
5,Ushuaia,AR,-54.8,-68.3,40.66,65,20,5.75,few clouds
6,Lebu,CL,-37.6167,-73.65,50.23,79,2,13.56,clear sky
7,Micheweni,TZ,-4.9667,39.8333,79.25,82,100,14.27,light rain
8,New Norfolk,AU,-42.7826,147.0587,61.66,63,94,4.0,overcast clouds
9,Bantayan,PH,11.2,123.7333,81.27,79,100,11.36,overcast clouds
10,Hofn,IS,64.2539,-15.2082,48.27,58,15,6.82,few clouds
11,Navirai,BR,-23.065,-54.1906,72.05,74,49,3.98,scattered clouds
12,Hobart,AU,-42.8794,147.3294,62.02,59,75,9.22,broken clouds
13,Vaini,TO,-21.2,-175.2,82.56,89,75,9.22,broken clouds
14,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,15,8.14,few clouds
15,Olafsvik,IS,64.8945,-23.7142,44.08,85,99,15.3,overcast clouds
16,Tasiilaq,GL,65.6145,-37.6368,30.36,64,33,3.38,scattered clouds
17,Novyy Svit,UA,47.8059,38.0211,49.95,59,94,9.66,overcast clouds
18,Busselton,AU,-33.65,115.3333,57.36,81,0,4.79,clear sky
19,Mar Del Plata,AR,-38.0023,-57.5575,50.88,73,0,5.99,clear sky
20,Rikitea,PF,-23.1203,-134.9692,76.57,73,73,10.49,moderate rain
21,Chulman,RU,56.8479,124.9104,29.68,60,19,5.28,few clouds
22,Katsuura,JP,35.1333,140.3,60.26,73,100,16.2,overcast clouds
23,Komsomolskiy,UZ,40.4272,71.7189,65.12,63,17,4.61,few clouds
24,East London,ZA,-33.0153,27.9116,61.05,71,3,11.86,clear sky
25,Grindavik,IS,63.8424,-22.4338,43.27,87,100,12.66,overcast clouds
26,Bandipur,NP,27.9333,84.4167,61.72,82,92,1.41,overcast clouds
27,Wollongong,AU,-34.4333,150.8833,66.92,62,2,3.18,clear sky
28,Sitka,US,57.0531,-135.33,55.29,41,75,3.44,broken clouds
29,Avarua,CK,-21.2078,-159.775,84.25,74,20,10.36,few clouds
30,Saskylakh,RU,71.9167,114.0833,9.0,89,100,15.97,overcast clouds
31,Port Elizabeth,ZA,-33.918,25.5701,60.31,73,10,5.01,clear sky
32,Raymondville,US,26.4815,-97.7831,86.11,71,15,17.13,few clouds
33,Barcelos,PT,41.5388,-8.6151,55.92,94,4,0.51,clear sky
34,Beckley,US,37.7782,-81.1882,61.09,97,0,10.36,clear sky
35,Fairbanks,US,64.8378,-147.7164,55.09,31,0,18.41,clear sky
36,Flin Flon,CA,54.7682,-101.865,44.91,93,100,6.04,overcast clouds
37,Guanhaes,BR,-18.775,-42.9325,62.85,75,1,3.8,clear sky
38,Muroto,JP,33.2833,134.15,61.45,77,100,9.28,light rain
39,Barrow,US,71.2906,-156.7887,26.62,74,0,3.44,clear sky
40,Sarakhs,IR,36.5449,61.1577,68.09,53,100,32.19,overcast clouds
41,Bredasdorp,ZA,-34.5322,20.0403,54.63,90,25,5.08,scattered clouds
42,Dharchula,IN,29.85,80.5333,67.86,42,78,6.4,broken clouds
43,Iskateley,RU,67.6803,53.1512,9.46,92,65,8.34,broken clouds
44,Atuona,PF,-9.8,-139.0333,79.05,76,8,11.43,clear sky
45,Ketchikan,US,55.3422,-131.6461,59.47,31,0,6.91,clear sky
46,Nikolskoye,RU,59.7035,30.7861,37.8,81,96,6.49,overcast clouds
47,Teguldet,RU,57.3064,88.1667,39.27,88,100,7.65,moderate rain
48,Mataura,NZ,-46.1927,168.8643,55.47,72,100,2.44,light rain
49,Kodiak,US,57.79,-152.4072,40.51,87,100,26.46,moderate rain
50,Saint George,US,37.1041,-113.5841,85.78,11,0,4.61,clear sky
51,Leningradskiy,RU,69.3833,178.4167,15.82,82,46,3.87,scattered clouds
52,Bemidji,US,47.4736,-94.8803,43.9,100,100,8.05,drizzle
53,Thompson,CA,55.7435,-97.8558,34.9,95,100,9.24,overcast clouds
54,Albany,US,42.6001,-73.9662,55.81,66,67,5.12,broken clouds
55,Hilo,US,19.7297,-155.09,79.29,82,75,8.05,broken clouds
56,Salalah,OM,17.0151,54.0924,86.09,79,40,5.75,scattered clouds
57,Laguna,US,38.421,-121.4238,82.45,49,0,17.27,clear sky
58,Kapaa,US,22.0752,-159.319,82.38,76,40,16.11,scattered clouds
59,Dikson,RU,73.5069,80.5464,16.36,94,100,15.95,overcast clouds
60,Bluff,NZ,-46.6,168.3333,55.8,93,100,10.49,light rain
61,Oktyabrskiy,RU,54.4815,53.471,42.69,69,91,4.76,overcast clouds
62,Uige,AO,-7.6087,15.0613,66.74,95,98,2.08,overcast clouds
63,Itarema,BR,-2.9248,-39.9167,77.5,88,33,7.78,scattered clouds
64,Zhigansk,RU,66.7697,123.3711,31.59,97,100,26.04,light snow
65,Denpasar,ID,-8.65,115.2167,80.26,94,40,2.3,scattered clouds
66,Yellowknife,CA,62.456,-114.3525,34.32,55,0,12.66,clear sky
67,Te Anau,NZ,-45.4167,167.7167,55.45,94,100,5.75,light rain
68,Bagan,RU,54.1001,77.6646,49.26,73,91,16.15,overcast clouds
69,Yarada,IN,17.65,83.2667,82.24,86,20,11.77,few clouds
70,Pevek,RU,69.7008,170.3133,10.49,90,95,6.35,overcast clouds
71,Horb,DE,50.288,11.1375,51.35,89,100,5.01,overcast clouds
72,Kloulklubed,PW,7.0419,134.2556,83.17,74,81,11.27,broken clouds
73,Ust-Kuyga,RU,70.0167,135.6,26.26,81,62,9.86,broken clouds
74,Saint-Pierre,RE,-21.3393,55.4781,74.88,78,0,5.75,clear sky
75,Upernavik,GL,72.7868,-56.1549,6.39,79,30,5.57,scattered clouds
76,Shubarkuduk,KZ,49.1447,56.4872,53.6,88,100,8.21,light rain
77,Lata,PT,40.1629,-8.3327,51.55,88,0,1.59,clear sky
78,Marsa Matruh,EG,31.3525,27.2453,64.53,81,70,8.19,broken clouds
79,Bahar,IR,34.9072,48.4414,51.03,65,2,2.93,clear sky
80,Khatanga,RU,71.9667,102.5,9.81,96,95,10.04,overcast clouds
81,Esperance,AU,-33.8667,121.9,60.48,62,0,6.4,clear sky
82,Samarkand,UZ,39.6542,66.9597,69.22,52,100,11.5,overcast clouds
83,Chuy,UY,-33.6971,-53.4616,54.75,74,100,5.12,overcast clouds
84,Putyatino,RU,54.16,41.1169,31.37,74,0,5.1,clear sky
85,Kashi,CN,39.4547,75.9797,63.61,27,75,6.71,dust
86,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,0,10.36,clear sky
87,Bambous Virieux,MU,-20.3428,57.7575,74.21,82,36,9.31,scattered clouds
88,Narsaq,GL,60.9167,-46.05,44.82,72,37,0.36,scattered clouds
89,Sheltozero,RU,61.3667,35.3667,32.34,95,100,7.96,overcast clouds
90,Cape Town,ZA,-33.9258,18.4232,60.91,84,0,5.75,clear sky
91,Ramanuj Ganj,IN,23.8,83.7,76.41,32,5,3.94,clear sky
92,Albion,US,42.2431,-84.753,57.15,42,75,12.66,broken clouds
93,Camacha,PT,33.0833,-16.3333,60.22,82,40,12.66,scattered clouds
94,Harper,LR,4.375,-7.7169,80.56,81,99,6.51,light rain
95,Qianan,CN,44.9932,124.0581,45.57,29,70,14.67,broken clouds
96,Inhambane,MZ,-23.865,35.3833,67.19,87,2,5.46,clear sky
97,Zaozerne,UA,45.1582,33.2787,52.05,76,21,11.65,few clouds
98,Madaoua,NE,14.073,5.96,91.4,13,90,6.42,overcast clouds
99,Kerman,IR,30.2832,57.0788,58.86,55,0,6.91,clear sky
100,Hermanus,ZA,-34.4187,19.2345,57.69,85,37,5.32,scattered clouds
101,Alpena,US,45.0617,-83.4327,50.32,46,75,10.36,broken clouds
102,Victoria,HK,22.2855,114.1577,73.33,89,100,17.0,light rain
103,Hithadhoo,MV,-0.6,73.0833,85.06,68,100,14.2,overcast clouds
104,Labuhan,ID,-6.8844,112.2051,81.21,85,100,10.29,overcast clouds
105,Norman Wells,CA,65.282,-126.8329,48.24,43,20,16.11,few clouds
106,Jabinyanah,TN,35.035,10.9081,60.6,78,99,19.37,overcast clouds
107,Mankachar,IN,25.5333,89.8667,72.14,86,93,3.71,overcast clouds
108,Cherskiy,RU,68.75,161.3,22.66,79,92,9.95,overcast clouds
109,Codrington,AU,-38.2667,141.9667,62.58,72,92,14.79,overcast clouds
110,Luderitz,NA,-26.6481,15.1594,61.79,44,0,11.07,clear sky
111,Henties Bay,NA,-22.116,14.2845,57.58,87,0,5.35,clear sky
112,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,49,75,11.18,broken clouds
113,Shumskiy,RU,54.8318,99.1328,55.47,58,69,4.76,broken clouds
114,Mount Gambier,AU,-37.8333,140.7667,60.71,88,40,12.66,scattered clouds
115,Grand-Santi,GF,4.25,-54.3833,73.0,94,36,2.48,scattered clouds
116,Qaanaaq,GL,77.484,-69.3632,9.14,80,77,5.61,broken clouds
117,Ilheus,BR,-14.7889,-39.0494,76.82,94,40,5.75,scattered clouds
118,Kavaratti,IN,10.5669,72.642,84.65,74,32,11.99,scattered clouds
119,Cidreira,BR,-30.1811,-50.2056,65.35,80,100,7.96,moderate rain
120,Yuzhno-Kurilsk,RU,44.0306,145.8556,42.13,51,70,6.11,broken clouds
121,Coquimbo,CL,-29.9533,-71.3436,55.13,94,0,3.44,clear sky
122,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,80,40,10.36,scattered clouds
123,Khuzdar,PK,27.7384,66.6434,76.57,25,0,5.53,clear sky
124,Fortuna,US,40.5982,-124.1573,58.93,69,100,11.5,overcast clouds
125,Champerico,GT,14.3,-91.9167,85.35,66,74,7.7,broken clouds
126,Tokur,RU,53.1333,132.9,31.87,65,100,3.8,overcast clouds
127,Puerto Ayora,EC,-0.7393,-90.3518,73.02,87,63,6.35,broken clouds
128,Butaritari,KI,3.0707,172.7902,80.96,81,70,13.29,light rain
129,Sibolga,ID,1.7427,98.7792,77.38,86,98,3.36,overcast clouds
130,Bethel,US,41.3712,-73.414,60.89,25,0,3.44,clear sky
131,Sioux Lookout,CA,50.1001,-91.917,48.27,29,100,10.36,light rain
132,Jamestown,US,42.097,-79.2353,56.84,28,0,8.05,clear sky
133,Cabo San Lucas,MX,22.8909,-109.9124,85.6,38,40,16.11,scattered clouds
134,Cabedelo,BR,-6.9811,-34.8339,77.67,76,83,14.05,broken clouds
135,Coahuayana,MX,18.7333,-103.6833,81.95,47,72,5.5,broken clouds
136,Bilibino,RU,68.0546,166.4372,17.06,73,37,1.77,scattered clouds
137,Georgetown,MY,5.4112,100.3354,82.33,83,20,0.0,few clouds
138,Muli,MV,2.9167,73.5667,85.55,70,95,17.69,overcast clouds
139,Tiksi,RU,71.6872,128.8694,33.49,95,100,10.31,overcast clouds
140,Vila Velha,BR,-20.3297,-40.2925,76.95,91,75,3.44,broken clouds
141,Faanui,PF,-16.4833,-151.75,81.1,72,15,13.6,few clouds
142,Kaitangata,NZ,-46.2817,169.8464,58.78,71,100,2.75,moderate rain
143,Takaungu,KE,-3.6837,39.8566,80.01,79,95,16.24,light rain
144,Manokwari,ID,-0.8667,134.0833,78.55,85,100,8.12,overcast clouds
145,Mareeba,AU,-17.0,145.4333,75.49,87,62,6.87,broken clouds
146,Ponta Do Sol,PT,32.6667,-17.1,65.03,64,0,3.33,clear sky
147,Batemans Bay,AU,-35.7167,150.1833,62.1,59,29,2.17,scattered clouds
148,Okahandja,NA,-21.9833,16.9167,58.48,44,0,2.59,clear sky
149,Hambantota,LK,6.1241,81.1185,80.69,85,100,13.51,overcast clouds
150,Rocha,UY,-34.4833,-54.3333,53.98,74,98,4.9,overcast clouds
151,Bengkulu,ID,-3.8004,102.2655,74.91,93,95,5.17,moderate rain
152,Richards Bay,ZA,-28.783,32.0377,64.06,83,10,9.73,clear sky
153,Grand Gaube,MU,-20.0064,57.6608,74.37,85,21,1.99,light rain
154,Flinders,AU,-34.5833,150.8552,67.17,61,5,8.01,clear sky
155,Kununurra,AU,-15.7667,128.7333,84.18,74,75,5.75,broken clouds
156,Narrabri,AU,-30.3167,149.7833,62.69,72,40,12.66,scattered clouds
157,Umm Lajj,SA,25.0213,37.2685,80.04,68,57,4.25,broken clouds
158,Jiwani,PK,25.05,61.7417,85.73,67,89,23.94,overcast clouds
159,Ribeira Brava,PT,32.65,-17.0667,65.03,65,0,3.0,clear sky
160,Kavieng,PG,-2.5744,150.7967,84.09,69,76,3.74,broken clouds
161,Marsabit,KE,2.3284,37.9899,65.82,82,49,12.77,light rain
162,Dragesti,RO,46.8833,22.1333,48.99,77,74,3.85,broken clouds
163,Saraland,US,30.8207,-88.0706,79.52,79,0,8.63,clear sky
164,Kasungu,MW,-13.0333,33.4833,60.01,93,59,3.0,broken clouds
165,Mahebourg,MU,-20.4081,57.7,74.25,82,27,9.17,scattered clouds
166,Isangel,VU,-19.55,169.2667,80.08,86,100,9.93,overcast clouds
167,Torbay,CA,47.6666,-52.7314,42.76,96,100,9.22,light rain
168,Port Moresby,PG,-9.4431,147.1797,89.02,58,40,5.75,scattered clouds
169,Tuatapere,NZ,-46.1333,167.6833,54.66,98,100,4.59,moderate rain
170,Smithers,CA,54.7804,-127.1743,55.17,45,97,3.53,overcast clouds
171,Hovd,MN,48.0056,91.6419,50.22,26,99,7.02,overcast clouds
172,Lorengau,PG,-2.0226,147.2712,84.4,69,100,2.06,overcast clouds
173,Provideniya,RU,64.3833,-173.3,32.34,87,100,15.28,overcast clouds
174,Qasigiannguit,GL,68.8193,-51.1922,21.45,85,5,5.57,clear sky
175,Biloela,AU,-24.4167,150.5,79.12,48,57,12.41,broken clouds
176,Portland,US,45.5234,-122.6762,57.78,82,100,8.05,heavy intensity rain
177,College,US,64.8569,-147.8028,54.99,31,40,18.41,scattered clouds
178,Pocola,US,35.2312,-94.478,75.04,38,0,12.66,clear sky
179,Kaseda,JP,31.4167,130.3167,61.92,71,100,14.79,overcast clouds
180,La Ronge,CA,55.1001,-105.2842,46.62,61,75,6.91,broken clouds
181,Mao,ES,39.8885,4.2658,59.56,82,0,4.61,clear sky
182,Oktyabrskoye,RU,43.0645,44.7417,51.94,93,17,6.71,few clouds
183,Tsiroanomandidy,MG,-18.7667,46.0333,62.71,97,0,2.24,clear sky
184,Mayo,US,38.8876,-76.5119,62.94,47,0,4.61,clear sky
185,Castro,BR,-24.7911,-50.0119,59.36,98,53,5.14,broken clouds
186,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.82,95,70,1.61,broken clouds
187,La Belgica,BO,-17.55,-63.2167,73.69,73,2,6.91,clear sky
188,Port Alfred,ZA,-33.5906,26.891,59.16,83,6,12.91,clear sky
189,Gizo,SB,-8.103,156.8419,84.18,69,70,1.43,broken clouds
190,Linhai,CN,28.85,121.1167,61.93,63,100,4.14,overcast clouds
191,Santa Fe,AR,-31.6333,-60.7,58.01,79,78,1.99,light rain
192,Airai,TL,-8.9266,125.4092,69.48,61,49,3.89,scattered clouds
193,Kaeo,NZ,-35.1,173.7833,65.32,88,63,7.43,broken clouds
194,Ribeira Grande,PT,38.5167,-28.7,62.06,85,41,5.41,scattered clouds
195,Jacksonville,US,30.3322,-81.6556,74.05,70,75,13.8,broken clouds
196,Iracoubo,GF,5.4802,-53.2011,78.49,83,47,10.51,scattered clouds
197,Bereda,ES,43.2686,-7.5406,51.15,100,8,1.3,clear sky
198,Ghanzi,BW,-21.5667,21.7833,66.79,45,77,7.23,broken clouds
199,Lavrentiya,RU,65.5833,-171.0,28.67,80,99,12.41,overcast clouds
200,Palmer,US,42.1584,-72.3287,56.8,30,20,9.22,few clouds
201,Port Said,EG,31.2565,32.2841,65.5,81,1,16.64,clear sky
202,Faya,SA,18.3851,42.4509,62.71,50,50,8.61,scattered clouds
203,Gurlan,UZ,41.8447,60.3919,69.87,26,100,8.16,overcast clouds
204,Waycross,US,31.2136,-82.354,77.23,62,0,10.36,clear sky
205,Taltal,CL,-25.4,-70.4833,61.7,80,24,3.4,few clouds
206,Esmeraldas,BR,-19.7625,-44.3139,72.46,63,90,6.02,overcast clouds
207,Nabire,ID,-3.3667,135.4833,80.89,80,53,1.81,broken clouds
208,Sadao,TH,6.6388,100.4234,78.62,96,77,1.81,broken clouds
209,Geraldton,AU,-28.7667,114.6,63.01,59,0,11.5,clear sky
210,Clyde River,CA,70.4692,-68.5914,16.03,86,100,4.61,overcast clouds
211,Mombetsu,JP,44.3525,143.3525,46.42,57,0,9.22,clear sky
212,Beringovskiy,RU,63.05,179.3167,26.31,91,100,19.04,light snow
213,Rapar,IN,23.5667,70.6333,82.44,69,0,14.2,clear sky
214,Yenagoa,NG,4.9247,6.2642,76.71,92,98,3.96,overcast clouds
215,Caravelas,BR,-17.7125,-39.2481,75.04,79,2,4.79,clear sky
216,Muhos,FI,64.808,25.9931,26.38,96,68,0.47,broken clouds
217,Shambu,ET,9.5667,37.1,56.66,64,94,1.5,overcast clouds
218,Poum,NC,-20.2333,164.0167,76.77,75,2,3.78,clear sky
219,Chakia,IN,26.4167,85.05,76.14,63,7,14.14,clear sky
220,Valparaiso,CL,-33.0393,-71.6273,62.24,65,0,9.22,clear sky
221,Goure,NE,13.9835,10.2704,92.01,21,80,5.37,broken clouds
222,Namibe,AO,-15.1961,12.1522,74.88,82,29,6.26,scattered clouds
223,Atambua,ID,-9.1061,124.8925,78.82,73,97,3.78,overcast clouds
224,Utica,US,43.1009,-75.2327,53.71,70,0,5.26,clear sky
225,Bambanglipuro,ID,-7.95,110.2833,78.44,84,91,3.83,overcast clouds
226,Zlitan,LY,32.4674,14.5687,65.61,70,71,13.8,broken clouds
227,Hami,CN,42.8,93.45,58.48,20,0,8.61,clear sky
228,Padang,ID,-0.9492,100.3543,77.05,88,100,3.67,overcast clouds
229,Yar-Sale,RU,66.8333,70.8333,12.83,88,22,8.99,few clouds
230,Mut,TR,36.6439,33.4389,62.89,72,30,6.93,scattered clouds
231,Ratnagiri,IN,16.9833,73.3,78.84,83,1,6.78,clear sky
232,Hammerfest,NO,70.6634,23.6821,30.65,69,75,11.5,broken clouds
233,Awjilah,LY,29.1081,21.2869,76.82,21,68,9.91,broken clouds
234,Adrar,MR,20.5022,-10.0711,78.84,11,0,9.35,clear sky
235,Barsovo,RU,61.1667,73.1667,26.73,82,13,5.57,few clouds
236,Derzhavinsk,KZ,51.1,66.3167,56.68,71,96,8.7,overcast clouds
237,Asau,RO,46.4333,26.4,44.96,92,71,2.73,broken clouds
238,Varadero,CU,23.1536,-81.2514,77.76,64,4,16.87,clear sky
239,Tautira,PF,-17.7333,-149.15,79.75,74,30,12.8,light rain
240,Jacareacanga,BR,-6.2222,-57.7528,74.7,92,99,2.46,moderate rain
241,Arraial Do Cabo,BR,-22.9661,-42.0278,73.72,87,92,10.85,overcast clouds
242,Vila,PT,42.0304,-8.1588,43.7,76,3,1.97,clear sky
243,Port-Gentil,GA,-0.7193,8.7815,81.28,82,84,10.18,light rain
244,Souillac,MU,-20.5167,57.5167,75.02,86,21,8.5,few clouds
245,Hlohovec,SK,48.4317,17.8031,53.02,59,100,4.43,overcast clouds
246,Longyearbyen,SJ,78.2186,15.6401,10.24,61,0,4.61,clear sky
247,Ilulissat,GL,69.2167,-51.1,21.22,45,5,6.91,clear sky
248,Nantucket,US,41.2835,-70.0995,48.31,75,0,9.22,clear sky
249,Hamilton,US,39.1834,-84.5333,70.65,75,0,14.97,clear sky
250,Kingaroy,AU,-26.5333,151.8333,64.44,100,75,4.61,broken clouds
251,Cockburn Town,TC,21.4612,-71.1419,76.96,65,40,14.97,scattered clouds
252,Sao Filipe,CV,14.8961,-24.4956,73.02,74,78,9.6,broken clouds
253,Paso De Patria,AR,-27.2454,-58.5454,60.85,89,88,5.39,overcast clouds
254,Bairiki,KI,1.3292,172.9752,80.29,82,73,13.09,broken clouds
255,Sulangan,PH,11.1373,123.7228,81.48,79,100,9.64,overcast clouds
256,Martapura,ID,-3.4167,114.85,78.89,89,20,5.75,few clouds
257,Kamaishi,JP,39.2667,141.8833,48.31,79,100,10.25,heavy intensity rain
258,Mogadishu,SO,2.0371,45.3438,82.38,77,97,10.65,light rain
259,Chantada,ES,42.6088,-7.7712,54.63,87,5,0.81,clear sky
260,Sabha,LY,27.0377,14.4283,80.08,16,41,21.5,scattered clouds
261,Jamkhed,IN,18.7362,75.3121,81.25,35,1,9.44,clear sky
262,Nioro,GM,13.35,-15.75,81.57,39,85,4.43,overcast clouds
263,Kruisfontein,ZA,-34.0033,24.7314,51.89,77,16,6.91,few clouds
264,Imeni Poliny Osipenko,RU,52.4201,136.4853,35.98,77,99,9.42,overcast clouds
265,Port Hardy,CA,50.6996,-127.4199,59.18,51,40,5.75,scattered clouds
266,Kidal,ML,18.4411,1.4078,85.66,10,82,13.02,broken clouds
267,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,87,20,2.39,few clouds
268,Seka,TH,17.9285,103.9552,77.99,82,99,4.54,overcast clouds
269,Chokurdakh,RU,70.6333,147.9167,20.41,90,54,9.1,broken clouds
270,Kungurtug,RU,50.5994,97.5228,45.14,49,68,2.1,broken clouds
271,Sapa,PH,5.1544,120.3241,82.76,77,100,3.11,overcast clouds
272,San Angelo,US,31.4638,-100.437,84.94,19,0,8.99,clear sky
273,Prince Rupert,CA,54.3161,-130.3201,60.89,48,0,5.75,clear sky
274,Bilma,NE,18.6853,12.9164,89.91,10,65,2.48,broken clouds
275,Almaznyy,RU,48.0448,40.045,48.36,61,100,10.67,overcast clouds
276,Aasiaat,GL,68.7098,-52.8699,9.77,90,8,7.23,clear sky
277,Tupik,RU,54.4253,119.9327,40.55,35,97,3.62,overcast clouds
278,Mugango,TZ,-1.6833,33.7,66.72,88,95,2.46,light rain
279,Velykyy Burluk,UA,50.0379,37.3987,40.51,85,18,7.52,few clouds
280,Saquarema,BR,-22.92,-42.5103,72.39,91,100,7.58,overcast clouds
281,Tahe,CN,52.3333,124.7333,42.64,27,3,2.62,clear sky
282,Karratha,AU,-20.7377,116.8463,76.98,53,98,15.66,overcast clouds
283,Yelyzavethradka,UA,48.8038,32.4046,47.97,75,95,6.33,overcast clouds
284,Pangody,RU,65.85,74.4859,18.3,94,100,5.39,overcast clouds
285,Aklavik,CA,68.2191,-135.0107,37.6,91,93,13.31,overcast clouds
286,Ponta Delgada,PT,37.7333,-25.6667,63.5,77,20,3.44,few clouds
287,Santiago,CL,-33.4569,-70.6483,66.16,49,0,5.75,clear sky
288,Inverness,GB,57.4791,-4.224,48.97,94,100,0.0,overcast clouds
289,Waipawa,NZ,-41.4122,175.5153,62.19,57,67,11.74,broken clouds
290,Margate,GB,51.3813,1.3862,46.69,81,100,1.01,overcast clouds
291,Semey,KZ,50.4111,80.2275,61.02,29,0,15.66,clear sky
292,Bud,US,39.447,-86.1758,72.82,76,100,14.61,overcast clouds
293,Inuvik,CA,68.3499,-133.7218,52.66,35,100,8.05,overcast clouds
294,Hvide Sande,DK,56.0045,8.1294,45.68,73,96,8.55,overcast clouds
295,Kurchum,KZ,48.5722,83.6542,62.92,22,100,17.65,overcast clouds
296,Afua,BR,-0.1567,-50.3867,75.11,93,57,4.47,broken clouds
297,Saint Anthony,US,45.0205,-93.218,51.66,91,100,12.66,moderate rain
298,Bull Savanna,JM,17.8868,-77.5902,76.23,79,34,8.79,scattered clouds
299,Bonavista,CA,48.6499,-53.1147,35.65,97,100,5.95,light rain
300,Kosonsoy,UZ,41.2561,71.5508,66.76,44,20,6.89,few clouds
301,Havelock,US,34.8791,-76.9013,69.78,81,75,3.44,broken clouds
302,Thaba-Tseka,LS,-29.522,28.6084,40.21,79,0,0.78,clear sky
303,Vanimo,PG,-2.6741,141.3028,84.15,68,100,1.59,overcast clouds
304,Lasa,IT,46.6166,10.7002,47.28,96,99,3.02,overcast clouds
305,Kropotkin,RU,45.4375,40.5756,53.24,79,97,12.19,overcast clouds
306,Rajsamand,IN,25.0667,73.8833,84.52,29,0,9.84,clear sky
307,Plettenberg Bay,ZA,-34.0527,23.3716,57.2,76,27,6.98,scattered clouds
308,Preobrazheniye,RU,42.9019,133.9064,40.26,87,99,3.24,overcast clouds
309,Carnarvon,AU,-24.8667,113.6333,68.07,52,0,9.22,clear sky
310,San Patricio,US,28.017,-97.5169,83.12,64,67,14.67,broken clouds
311,Iqaluit,CA,63.7506,-68.5145,22.73,79,20,0.0,few clouds
312,Da Lat,VN,11.9465,108.4419,63.72,96,95,1.7,overcast clouds
313,Nador,MA,35.174,-2.9287,57.45,82,0,4.61,clear sky
314,Stephenville,US,32.2207,-98.2023,80.24,25,0,4.61,clear sky
315,Lagoa,PT,39.05,-27.9833,60.67,87,1,8.5,clear sky
316,San Quintin,MX,30.4833,-115.95,64.78,68,87,12.41,overcast clouds
317,Ziarat,PK,30.3823,67.7282,61.57,16,7,6.89,clear sky
318,Ulaangom,MN,49.9811,92.0667,52.65,29,100,2.04,overcast clouds
319,Dolores,AR,-36.3132,-57.6792,45.68,66,41,2.64,scattered clouds
320,Llanes,ES,43.4198,-4.7549,57.25,83,94,0.98,overcast clouds
321,Luoyang,CN,34.6836,112.4536,57.72,43,100,6.73,overcast clouds
322,Gallup,US,35.5281,-108.7426,73.24,9,0,8.05,clear sky
323,Bolshaya Glushitsa,RU,50.2406,43.5908,42.42,77,84,8.32,broken clouds
324,Terney,RU,45.0503,136.6092,40.06,88,100,11.34,overcast clouds
325,Kabare,CD,-2.4683,28.8242,58.89,96,60,0.45,broken clouds
326,Banjarmasin,ID,-3.3244,114.591,78.94,88,98,4.23,overcast clouds
327,Touros,BR,-5.1989,-35.4608,80.24,75,20,15.68,few clouds
328,Hasaki,JP,35.7333,140.8333,61.29,67,100,19.15,overcast clouds
329,Vardo,NO,70.3705,31.1107,28.47,76,94,18.86,light snow
330,Pringsewu,ID,-5.3582,104.9744,75.25,92,96,2.3,overcast clouds
331,Teknaf,BD,20.8624,92.3058,76.66,88,20,2.44,few clouds
332,Senahu,GT,15.4,-89.8333,67.8,81,49,0.72,scattered clouds
333,Mobaye,CF,4.319,21.1786,70.23,96,100,1.59,overcast clouds
